algo,size,exemplaire,temps
conv,2,0,0.11329999961162684
conv,2,1,0.09229999977833359
conv,2,2,0.10300000030838419
conv,2,3,0.07840000034775585
conv,2,4,0.10700000075303251
conv,2,5,0.09510000018053688
conv,2,6,0.09539999973640079
conv,2,7,0.08820000039122533
conv,2,8,0.09980000049836235
conv,2,9,0.09760000011738157
conv,3,0,0.4864000002271496
conv,3,1,0.4711999999926775
conv,3,2,0.24339999981748406
conv,3,3,0.22360000002663583
conv,3,4,0.6638999993811012
conv,3,5,0.4865000000791042
conv,3,6,0.4850000004807953
conv,3,7,0.4828000000998145
conv,3,8,0.5094999996799743
conv,3,9,0.517299999955867
conv,4,0,3.4853000006478396
conv,4,1,3.4166999994340586
conv,4,2,4.3152999996891594
conv,4,3,3.3978000001297914
conv,4,4,3.5742000000027474
conv,4,5,2.6983999996446073
conv,4,6,5.304000000251108
conv,4,7,3.589799999645038
conv,4,8,3.4641999991436023
conv,4,9,4.070599999977276
conv,5,0,18.017000000327243
conv,5,1,13.636399999995774
conv,5,2,16.357099999368074
conv,5,3,17.044500000338303
conv,5,4,21.656099999745493
conv,5,5,20.542899999782094
conv,5,6,18.78690000012284
conv,5,7,18.305199999304023
conv,5,8,16.08990000022459
conv,5,9,23.15299999918352
conv,6,0,99.25810000004276
conv,6,1,101.23380000004545
conv,6,2,99.7693999997864
conv,6,3,106.81110000041372
conv,6,4,105.16879999977391
conv,6,5,104.93950000000041
conv,6,6,106.56440000002476
conv,6,7,101.78240000004735
conv,6,8,100.1114000000598
conv,6,9,106.25819999950181
conv,7,0,759.5412999999098
conv,7,1,798.6708999997063
conv,7,2,758.7165999993886
conv,7,3,750.1539000004414
conv,7,4,797.4117000003389
conv,7,5,770.7963000002565
conv,7,6,797.3290999998426
conv,7,7,767.023400000653
conv,7,8,774.3574000005538
conv,7,9,792.8246999999828
strassen,2,0,0.39769999966665637
strassen,2,1,0.3956000000471249
strassen,2,2,0.4123999997318606
strassen,2,3,0.4056999996464583
strassen,2,4,0.4123999997318606
strassen,2,5,0.4901000002064393
strassen,2,6,0.42049999956361717
strassen,2,7,0.48659999993105885
strassen,2,8,0.40919999992183875
strassen,2,9,0.28639999982260633
strassen,3,0,2.4564000004829722
strassen,3,1,2.438399999846297
strassen,3,2,1.4111999998931424
strassen,3,3,1.9319000002724351
strassen,3,4,1.51090000053955
strassen,3,5,1.3974000003145193
strassen,3,6,2.615700000205834
strassen,3,7,2.414699999462755
strassen,3,8,3.0115999998088228
strassen,3,9,2.4024999993343954
strassen,4,0,9.859099999630416
strassen,4,1,9.018399999149551
strassen,4,2,15.474599999834027
strassen,4,3,15.81259999966278
