algo,size,exemplaire,temps
conv,4,4.5,0.09701000017230399
conv,8,4.5,0.45695999997406034
conv,16,4.5,3.7316299998565228
conv,32,4.5,18.358899999839196
conv,64,4.5,103.18970999996964
conv,128,4.5,776.6825300001074
strassen,4,4.5,0.4116599998269521
strassen,8,4.5,2.1590700000160723
strassen,16,4.5,14.643709999927523
strassen,32,4.5,68.70461999997133
strassen,64,4.5,424.4527100000596
strassen,128,4.5,2908.9041799999904
strassenSeuil,4,4.5,0.11227000013604993
strassenSeuil,8,4.5,0.4095400000551308
strassenSeuil,16,4.5,2.562500000021828
strassenSeuil,32,4.5,15.510860000085813
strassenSeuil,64,4.5,94.53689999991184
strassenSeuil,128,4.5,566.1364899999171
